iter	Logloss
0	0.6273351948
1	0.5783176208
2	0.536234995
3	0.509630739
4	0.4911346864
5	0.4723172991
6	0.4545513539
7	0.444767384
8	0.4350833679
9	0.427493449
10	0.4220138721
11	0.4139222992
12	0.4039913563
13	0.3986770973
14	0.3947649752
15	0.3898514308
16	0.3868633656
17	0.382602906
18	0.3787621059
19	0.3768670586
20	0.3732551832
21	0.3709377332
22	0.3685993666
23	0.3650503266
24	0.3633202542
25	0.3601013784
26	0.3590702314
27	0.3577436811
28	0.3562527774
29	0.3541399495
30	0.3531876253
31	0.3516604177
32	0.3500680602
33	0.3485908508
34	0.3477308295
35	0.346961225
36	0.3465508022
37	0.3434467959
38	0.3419860668
39	0.3405407895
40	0.3402354423
41	0.3389311587
42	0.3366555203
43	0.336430196
44	0.3357808831
45	0.3352435251
46	0.3343683307
47	0.3330549176
48	0.3327369476
49	0.3316798049
50	0.3310357855
51	0.3285394304
52	0.326915098
53	0.326406286
54	0.3252142574
55	0.3241779242
56	0.3232503955
57	0.322145312
58	0.3215188444
59	0.3205326595
60	0.3200657234
61	0.3193561683
62	0.3190347264
63	0.3182100875
64	0.3180610571
65	0.315904253
66	0.315220222
67	0.313528511
68	0.3128521094
69	0.3122092472
70	0.3115861871
71	0.311088562
72	0.3103253011
73	0.3085559031
74	0.3073079184
75	0.3065805757
76	0.3036117768
77	0.3021472117
78	0.3018556445
79	0.3006816821
80	0.2988383047
81	0.2975558377
82	0.294786839
83	0.2925365962
84	0.2905808138
85	0.2897879568
86	0.289464972
87	0.286738535
88	0.286146764
89	0.2835859877
90	0.282128902
91	0.2795557601
92	0.2767059883
93	0.2765403705
94	0.2762716915
95	0.2747898102
96	0.2715055487
97	0.2705185494
98	0.2684682353
99	0.2676514829
