iter	Passed	Remaining
0	4	446
1	9	458
2	14	460
3	19	459
4	23	455
5	27	435
6	33	441
7	38	443
8	43	439
9	47	428
10	52	426
11	57	423
12	61	411
13	64	399
14	68	386
15	71	374
16	74	364
17	78	355
18	81	349
19	85	341
20	89	335
21	92	329
22	97	325
23	101	321
24	104	314
25	109	310
26	112	304
27	116	298
28	119	292
29	122	286
30	126	281
31	129	276
32	133	271
33	137	266
34	140	260
35	143	255
36	146	249
37	149	243
38	152	238
39	154	232
40	158	227
41	160	221
42	163	216
43	165	210
44	168	206
45	171	201
46	174	196
47	178	193
48	181	188
49	184	184
50	186	178
51	189	174
52	192	171
53	196	167
54	199	163
55	202	159
56	205	154
57	208	150
58	211	146
59	213	142
60	216	138
61	219	134
62	221	130
63	224	126
64	226	121
65	229	117
66	231	114
67	233	110
68	236	106
69	239	102
70	242	99
71	245	95
72	248	92
73	251	88
74	255	85
75	258	81
76	261	78
77	264	74
78	267	71
79	269	67
80	272	63
81	274	60
82	277	56
83	279	53
84	281	49
85	284	46
86	286	42
87	288	39
88	290	35
89	292	32
90	294	29
91	297	25
92	300	22
93	304	19
94	307	16
95	310	12
96	313	9
97	316	6
98	319	3
99	322	0
